acude_Banabuiú,acude_Castanhão,acude_Orós,water_level,precipitation,temperature_mean,volume,radiation,winv,depth,runoff,temperature_bottom,temperature_2m,month,year,chla
0,1,0,99.94,80.5360482526787,29.5,4428410880,19010783.1111111,-2.85739803314209,6.0611531469557,8.24271445397547e-05,299.895195855035,302.535461425781,1,2005,15.61
0,1,0,99.69,50.0296463425128,29.3000011444092,4346910720,19123158.6666667,-2.84730206595527,5.20611331197951,7.77261089054567e-05,300.339677598741,302.758039686415,2,2005,25.355
0,1,0,99.53,228.283457262001,28.5,4294749696,18153870.8888889,-2.24250549740262,4.5141802628835,0.000586910545453065,300.56016031901,301.870934380425,3,2005,21.39
0,1,0,99.86,72.2158233553045,28.1000003814697,4402330112,18329830.8888889,-2.11402209599813,4.79385277960036,2.38406538479315e-05,300.728756374783,301.876641167535,4,2005,21.44
0,1,0,99.92,75.9014769213547,27.1000003814697,4421889536,15405722.2222222,-1.9776424964269,5.29334674941169,4.73240465529064e-05,300.18251546224,300.679714626736,5,2005,13.76
0,1,0,99.87,29.5802799157827,26.3999996185303,4405591040,13561266.7777778,-2.90748286247253,7.02555282910665,1.56454289704773e-05,298.618774414062,300.962164984809,6,2005,12.065
0,1,0,99.74,5.05071026362248,26.3000011444092,4363209216,16923768.8888889,-2.38915014266968,6.99452524715,5.84252859804716e-06,297.620005289714,301.207183837891,7,2005,18.585
0,1,0,99.52,1.68385524845612,27.8999996185303,4291489024,18492114,-3.37025973531935,7.03428467114766,4.20435504035292e-06,297.379635281033,301.708797878689,8,2005,21.97
0,1,0,99.21,0.119819364671408,28.8999996185303,4192743936,21531724.8888889,-3.51233585675557,7.00885219044156,3.10207334488647e-06,297.967312282986,302.190270317925,9,2005,18.89
0,1,0,98.91,0.0358639086766343,29.5,4098061056,22215691.3333333,-3.75446891784668,7.01885559823778,2.43111925859315e-06,298.402079264323,302.748348659939,10,2005,16.54
0,1,0,98.55,1.01530132555052,29.6000003814697,3986460928,21726218.4444444,-3.834728691313,7.01283653577169,2.8842310920633e-06,298.907121446398,302.939951578776,11,2005,19.49
0,1,0,98.21,61.6373344165116,29.5,3883379712,19857423.7777778,-3.40133709377713,6.49197951952616,0.000118288332667665,299.347747802734,302.930633544922,12,2005,19.295
0,1,0,97.93,33.8055036582851,29.3999996185303,3799379968,20447381.3333333,-3.25192872683207,6.35320289929708,5.11929235851009e-06,299.736948649089,303.566833496094,1,2006,23.39
0,1,0,97.63,171.039492515753,28.8000011444092,3711179264,17802732.2222222,-2.28356591860453,5.34963729646471,0.000370410220578682,300.336283365885,301.338524712457,2,2006,21.16
0,1,0,97.67,188.077725417125,28,3722939392,16839529.1111111,-1.76923779646556,4.72849125332302,0.000838187206412234,300.480577256944,299.797359890408,3,2006,22.495
0,1,0,98.17,195.688793704774,27.1000003814697,3871299328,14479475,-1.14520813359155,4.17813250753615,0.000522925925824893,300.498216417101,299.176937527127,4,2006,17.48
0,1,0,99.62,108.784702779165,26.6000003814697,4324090880,15115320.8888889,-1.39033040735457,5.41805063353644,0.000230577290560632,300.070285373264,299.743560791016,5,2006,16.81
0,1,0,100.57,18.1949863807437,26.1000003814697,4638894080,14322160.4444444,-2.22795376512739,6.92814652125041,5.32580687994747e-05,298.249857584635,300.452372233073,6,2006,13.23
0,1,0,100.46,4.22302465237991,26.3000011444092,4601600512,16403704,-2.10370058483548,6.97087306446499,3.75952127289262e-05,298.080854627821,301.013295491536,7,2006,13.995
0,1,0,100.25,3.69179133750583,27.7000007629395,4531465216,19074702.8888889,-2.99067550235324,6.81225922372606,2.53350515151851e-05,297.831583658854,301.510359022352,8,2006,14.88
0,1,0,99.97,1.01274397501649,28.7000007629395,4438190592,20997815.3333333,-3.3029723432329,6.51232536633809,1.7466590204549e-05,298.318406846788,302.195220947266,9,2006,17.05
0,1,0,99.67,16.9970939017939,29.3000011444092,4340389376,21497224.8888889,-3.51408433914185,6.24519970681932,1.3140243536706e-05,298.882066514757,302.566636827257,10,2006,19.01
0,1,0,99.32,8.09717666182463,29.1000003814697,4227726336,19721211.3333333,-3.55881097581651,6.24528426594204,9.60684244508532e-06,298.90872531467,302.265353732639,11,2006,20.425
0,1,0,98.99,55.3534985085365,29.7000007629395,4122859264,19026414.4444444,-3.31876481903924,6.12888839509752,4.68840054763101e-05,299.30999077691,302.452969021267,12,2006,20.495
0,1,0,98.71,42.1831086765609,29.5,4036059648,20280911.5555556,-3.23235729005602,6.02402178446452,8.86617877995377e-06,299.934906005859,302.771538628472,1,2007,19.775
0,1,0,98.47,284.334581914207,28.3999996185303,3961900288,16596523.1111111,-1.81954823599921,5.21145420604282,0.000912933232381571,300.283877902561,300.10262383355,2,2007,19.94
0,1,0,98.87,112.124216343675,27.6000003814697,4085660928,18707486.4444444,-1.8318438132604,5.71408462524414,0.000168535823133122,300.565565321181,300.256781684028,3,2007,18.51
0,1,0,98.99,127.207659883142,27.3000011444092,4122859264,16342352.3333333,-1.6122715473175,5.50604701042175,0.00071240074262884,300.676005045573,300.632954915365,4,2007,16.6
0,1,0,98.96,44.6409223850367,26.8999996185303,4113559808,16647937.8888889,-1.64537941084968,5.9129667547014,2.6576752291021e-05,299.978237575955,300.560723198785,5,2007,15.49
0,1,0,98.84,19.6240249763429,26.5,4076358912,15168968.5555556,-2.68334200647142,6.70256039831373,1.24736460907116e-05,298.272722032335,300.493811713325,6,2007,15.24
0,1,0,98.63,3.26474038212159,26.3000011444092,4011259136,16805531.7777778,-2.81960876782735,7.02606145540873,5.62904325344486e-06,297.842617458767,301.351450602214,7,2007,14.58
0,1,0,98.37,0.605924792980346,27.8000011444092,3931700736,18088220.4444444,-3.4023523595598,7.03428467114766,4.48754998766769e-06,296.731794569227,301.209655761719,8,2007,17.49
0,1,0,98.06,0.877037925872984,28.5,3838079232,20809517.7777778,-3.40427003966437,6.80217093891568,3.40705247026563e-06,297.365037706163,302.0786980523,9,2007,20.885
0,1,0,97.71,3.1455138698587,29.2000007629395,3734699776,22216361.5555556,-3.61893532011244,6.32149693701002,2.49647196369551e-06,298.322835286458,302.577657063802,10,2007,22.31
0,1,0,97.33,7.02525844654363,29.3999996185303,3624340480,21428783.7777778,-3.71600283516778,6.18662005000644,3.25020605335643e-06,298.709214952257,302.618523491753,11,2007,21.43
0,1,0,96.94,63.1826092497433,29.5,3513278208,19639316,-3.28419054879083,6.02317417992486,4.38734246358763e-06,299.343549940321,302.586781819661,12,2007,20.985
0,1,0,96.61,148.092325090649,28.7000007629395,3421524480,17950500.4444444,-2.42496530214945,5.40991226832072,0.000155508856716248,299.895772298177,301.295186360677,1,2008,21.52
0,1,0,96.48,162.508994967337,28.7000007629395,3385538560,19353548.2222222,-2.11875984403822,4.66262115372552,0.000457560185332871,300.293711344401,301.939938015408,2,2008,21.61
0,1,0,96.95,378.070409428429,27.3000011444092,3516057088,13889964,-0.819769667254554,3.8340310520596,0.00215025969112806,300.07970852322,298.894476996528,3,2008,18.65
